model,precision,format,max_RAM,avg_RAM,max_CPU,avg_CPU,max_power,avg_power,max_voltage,avg_voltage,max_current,avg_current,avg_preprocessing,avg_inference,avg_postprocessing
v10m,FP32,openvino,1218.33,1056.11,100.00,93.85,13.28,8.42,5.24,5.14,2.57,1.64,8.4745,428.599,0.4454
v10m,FP32,mnn,811.88,666.38,52.50,48.12,9.26,6.98,5.18,5.13,1.81,1.36,8.1636,578.884,0.5099
v10m,FP32,tflite,1710.36,1503.63,100.00,91.76,12.62,8.67,5.25,5.14,2.47,1.69,8.2034,1358.826,0.4182
v10m,FP16,openvino,1154.72,1001.41,100.00,94.94,13.41,8.68,5.24,5.14,2.60,1.69,8.5381,428.624,0.4280
v10m,FP16,mnn,825.28,662.13,53.40,48.24,9.53,7.09,5.18,5.13,1.87,1.38,7.9862,576.645,0.5118
v10m,FP16,tflite,1688.09,1472.15,100.00,91.74,12.89,8.58,5.25,5.14,2.51,1.67,7.8693,1347.545,0.4193
v10m,INT8,openvino,1247.89,1092.34,100.00,87.56,13.22,7.50,5.22,5.13,2.61,1.46,8.6466,1347.138,0.4317
v10m,INT8,mnn,813.08,661.66,53.90,48.35,9.30,7.03,5.20,5.13,1.82,1.37,8.0331,575.958,0.5190
v10n,FP32,openvino,868.69,694.31,95.10,81.87,11.19,7.17,5.21,5.13,2.18,1.40,8.5972,82.697,0.4273
v10n,FP32,mnn,758.00,596.86,57.10,46.23,8.39,6.24,5.18,5.13,1.64,1.22,8.0956,111.801,0.4949
v10n,FP32,tflite,1404.91,1182.13,100.00,80.10,12.82,7.17,5.21,5.13,2.48,1.40,8.1345,298.444,0.4199
v10n,FP16,openvino,858.75,684.51,94.90,81.35,10.98,7.18,5.22,5.13,2.14,1.40,8.3857,82.759,0.4344
v10n,FP16,mnn,759.06,595.33,57.10,46.02,8.37,6.23,5.19,5.13,1.64,1.21,8.1598,112.479,0.5362
v10n,FP16,tflite,1368.25,1169.26,100.00,79.82,12.62,7.19,5.21,5.13,2.49,1.40,8.0646,300.492,0.4179
v10n,INT8,openvino,889.25,733.44,97.60,85.87,11.08,7.16,5.22,5.13,2.16,1.40,8.3958,293.147,0.4452
v10n,INT8,mnn,759.55,601.22,55.80,46.27,8.25,6.25,5.18,5.13,1.61,1.22,8.0785,112.115,0.4891
v10s,FP32,openvino,970.86,810.74,100.00,89.44,12.38,8.09,5.23,5.14,2.42,1.58,8.5664,185.020,0.4339
v10s,FP32,mnn,779.80,615.90,53.50,47.45,9.32,6.80,5.18,5.13,1.82,1.32,7.9252,259.321,0.5058
v10s,FP32,tflite,1584.64,1380.19,100.00,87.63,12.95,7.95,5.21,5.14,2.51,1.55,7.7692,652.041,0.4189
v10s,FP16,openvino,951.42,785.80,100.00,89.89,12.36,8.08,5.23,5.13,2.40,1.57,8.4351,185.227,0.4401
v10s,FP16,mnn,781.94,616.93,53.90,47.51,9.33,6.74,5.18,5.13,1.82,1.31,8.0936,259.199,0.4923
v10s,FP16,tflite,1608.25,1388.57,100.00,87.60,13.03,7.97,5.24,5.13,2.52,1.55,7.5680,648.220,0.4167
