model,precision,format,max_RAM,avg_RAM,max_CPU,avg_CPU,max_power,avg_power,max_voltage,avg_voltage,max_current,avg_current,avg_preprocessing,avg_inference,avg_postprocessing
v10n,FP32,openvino,863.11,665.51,92.50,70.23,10.23,5.20,5.24,5.13,2.00,1.01,8.4935,80.796,0.5301
v10n,FP32,mnn,771.12,599.13,60.00,45.96,7.60,5.51,5.19,5.13,1.49,1.08,7.8898,110.139,0.4982
v10n,FP32,tflite,1400.31,1074.64,100.00,74.12,11.78,6.12,5.22,5.13,2.29,1.19,7.9928,298.349,0.4170
v10n,FP32,pytorch,780.95,622.08,70.70,49.63,8.62,5.79,5.18,5.13,1.68,1.13,6.9284,412.880,0.3234
v10s,FP32,openvino,979.77,812.72,100.00,89.33,11.84,7.58,5.23,5.13,2.31,1.48,8.6674,184.029,0.4465
v10s,FP32,mnn,788.06,619.31,56.20,47.45,8.69,6.44,5.18,5.13,1.69,1.26,7.9218,258.692,0.4967
v10s,FP32,tflite,1589.34,1386.15,100.00,87.55,12.85,7.58,5.23,5.13,2.56,1.48,8.2945,657.827,0.4213
v10s,FP32,pytorch,821.52,666.66,69.20,45.42,9.09,6.11,5.17,5.13,1.77,1.19,6.7904,998.248,0.3269
v10m,FP32,openvino,1226.44,1062.99,100.00,94.51,13.11,8.38,5.24,5.13,2.55,1.63,8.4803,428.640,0.4194
v10m,FP32,mnn,815.91,663.21,52.50,48.13,9.21,6.88,5.18,5.13,1.80,1.34,8.2451,573.355,0.5315
v10m,FP32,tflite,1769.67,1552.69,100.00,91.86,12.77,8.48,5.24,5.13,2.50,1.65,8.0560,1362.235,0.4191
v10m,FP32,pytorch,921.91,733.33,69.00,41.11,9.35,6.16,5.19,5.13,1.82,1.20,6.6393,2199.087,0.3280
v11n,FP32,openvino,866.59,690.07,92.50,80.46,11.95,7.12,5.22,5.13,2.34,1.39,8.4546,79.411,1.3935
v11n,FP32,mnn,749.03,589.82,60.40,46.24,8.66,6.18,5.18,5.13,1.69,1.21,7.9224,111.656,1.2424
v11n,FP32,tflite,1389.64,1163.08,100.00,80.48,12.34,7.01,5.21,5.13,2.43,1.37,7.9397,298.941,1.1870
v11n,FP32,ncnn,767.23,611.42,85.70,77.01,12.71,6.82,5.21,5.13,2.52,1.33,8.3863,94.616,1.2026
v11n,FP32,pytorch,798.02,625.30,62.20,50.23,9.37,6.18,5.18,5.13,1.83,1.20,6.8988,346.489,1.0036
v11s,FP32,openvino,973.83,806.52,100.00,88.41,12.72,8.17,5.23,5.13,2.51,1.59,8.4666,177.124,1.2591
v11s,FP32,mnn,772.03,616.94,53.40,47.61,9.33,6.71,5.18,5.13,1.82,1.31,8.3536,269.364,1.1683
v11s,FP32,tflite,1574.88,1313.08,100.00,87.21,12.68,7.80,5.22,5.13,2.47,1.52,8.0580,661.114,1.3842
v11s,FP32,ncnn,858.00,706.00,93.50,86.30,13.68,7.75,5.23,5.13,2.72,1.51,8.4317,223.014,1.2556
v11s,FP32,pytorch,861.50,677.46,72.50,45.04,9.05,6.20,5.18,5.13,1.76,1.21,6.8697,890.945,1.0445
v11m,FP32,openvino,1180.11,1017.54,100.00,94.70,13.48,9.22,5.25,5.14,2.62,1.80,8.5967,449.793,1.4217
v11m,FP32,mnn,820.27,669.03,53.40,48.28,9.68,7.16,5.18,5.13,1.90,1.39,8.2232,721.139,1.6117
v11m,FP32,tflite,1809.94,1566.63,100.00,92.88,13.10,8.58,5.25,5.14,2.53,1.67,7.8129,1565.147,1.1396
v11m,FP32,ncnn,955.88,807.79,96.30,90.59,13.79,8.56,5.26,5.13,2.70,1.67,8.3620,680.244,1.3081
v11m,FP32,pytorch,981.61,762.11,82.10,40.92,9.23,6.27,5.19,5.13,1.80,1.22,6.6524,2462.835,0.9989
v9s,FP32,openvino,1039.84,869.92,100.00,90.56,12.51,8.12,5.22,5.13,2.45,1.58,8.1534,220.143,1.2630
v9s,FP32,mnn,772.80,618.38,54.10,47.52,9.20,6.88,5.18,5.13,1.80,1.34,7.8532,265.214,1.3304
v9s,FP32,tflite,1565.77,1374.71,100.00,87.56,13.07,8.14,5.23,5.13,2.53,1.59,7.7570,748.156,1.1022
v9s,FP32,ncnn,844.41,696.27,95.10,88.20,13.06,7.62,5.22,5.13,2.57,1.49,8.1203,252.972,1.2640
v9s,FP32,pytorch,829.56,659.28,67.50,44.18,9.05,6.24,5.18,5.13,1.77,1.22,6.6166,991.332,0.9379
v9m,FP32,openvino,1270.09,1102.55,100.00,94.29,13.29,9.00,5.26,5.14,2.58,1.75,8.4249,443.236,1.1810
v9m,FP32,mnn,819.05,671.69,51.90,48.19,9.71,7.28,5.20,5.13,1.90,1.42,7.5392,653.842,1.2691
v9m,FP32,tflite,1704.70,1509.24,100.00,92.70,12.95,8.55,5.26,5.13,2.51,1.67,8.1635,1646.968,1.2055
v9m,FP32,ncnn,984.59,833.26,95.40,89.66,14.03,8.37,5.24,5.13,2.77,1.63,8.4641,539.792,1.1792
v9m,FP32,pytorch,943.59,745.14,76.90,38.92,9.17,6.26,5.18,5.13,1.79,1.22,6.6843,2548.558,0.9395
v9t,FP32,openvino,897.14,718.36,100.00,82.43,11.20,7.44,5.21,5.13,2.18,1.45,8.4053,95.917,1.2180
v9t,FP32,mnn,749.33,595.80,60.40,46.40,8.81,6.33,5.18,5.13,1.72,1.23,7.8584,117.340,1.1097
v9t,FP32,tflite,1350.23,1155.29,97.40,78.23,12.45,7.36,5.21,5.13,2.44,1.43,7.8983,326.471,1.2024
v9t,FP32,ncnn,762.41,608.45,86.70,78.41,11.68,6.85,5.20,5.13,2.29,1.33,8.3056,101.597,1.1735
v9t,FP32,pytorch,779.17,615.92,71.40,50.75,8.98,6.32,5.19,5.13,1.75,1.23,6.9614,399.321,1.0026
